Number;OS Name;OS Token ID;DNA;Description
0;BitBird 0;_64159879865138287087882027887075729047962830622590748212892262672519466582017;_10405029932255985032317534657773527;None
1;BitBird 1;_64159879865138287087882027887075729047962830622590748212892262673618978209793;_5233015483324809074254093006011406;None
2;BitBird 2;_64159879865138287087882027887075729047962830622590748212892262674718489837569;_10405029932255985032291600047954687;None
3;BitBird 3;_64159879865138287087882027887075729047962830622590748212892262675818001465345;_5233015483324809074099428841821055;None
4;BitBird 4;_64159879865138287087882027887075729047962830622590748212892262676917513093121;_5233015483324809074357199220495865;None
5;BitBird 5;_64159879865138287087882027887075729047962830622590748212892262678017024720897;_5233015483324809074192613980369105;None
6;BitBird 6;_64159879865138287087882027887075729047962830622590748212892262679116536348673;_15617609200394464331409617712301030;None
7;BitBird 7;_64159879865138287087882027887075729047962830622590748212892262680216047976449;_15617609200394464331283344626978231;None
8;BitBird 8;_64159879865138287087882027887075729047962830622590748212892262681315559604225;_20809906058929291959731414242186875;None
9;BitBird 9;_64159879865138287087882027887075729047962830622590748212892262682415071232001;_5212733073721157403673669280006740;None
10;BitBird 10;_64159879865138287087882027887075729047962830622590748212892262683514582859777;_5233015483324809074203139365195490;None
11;BitBird 11;_64159879865138287087882027887075729047962830622590748212892262684614094487553;_5212733073721157403677906329969148;None
12;BitBird 12;_64159879865138287087882027887075729047962830622590748212892262685713606115329;_20809906058929291959880649946351286;None
13;BitBird 13;_64159879865138287087882027887075729047962830622590748212892262686813117743105;_5253297892928460744652563615349347;None
14;BitBird 14;_64159879865138287087882027887075729047962830622590748212892262687912629370881;_5212733073721157403725658215077332;None
15;BitBird 15;_64159879865138287087882027887075729047962830622590748212892262689012140998657;_10425312341859636702851975134569366;None
16;BitBird 16;_64159879865138287087882027887075729047962830622590748212892262690111652626433;_5212733073721157403939508347755887;None
17;BitBird 17;_64159879865138287087882027887075729047962830622590748212892262691211164254209;_5212733073721157403779205616098238;None
18;BitBird 18;_64159879865138287087882027887075729047962830622590748212892262692310675881985;_10405029932255985032475250666203151;None
19;BitBird 19;_64159879865138287087882027887075729047962830622590748212892262693410187509761;_15617609200394464331332466294609018;None
20;BitBird 20;_64159879865138287087882027887075729047962830622590748212892262694509699137537;_5233015483324809074356633225942910;None
21;BitBird 21;_64159879865138287087882027887075729047962830622590748212892262695609210765313;_5212733073721157403752792500770122;None
22;BitBird 22;_64159879865138287087882027887075729047962830622590748212892262696708722393089;_5212733073721157403885098780146522;None
23;BitBird 23;_64159879865138287087882027887075729047962830622590748212892262697808234020865;_10405029932255985032339082270177425;None
24;BitBird 24;_64159879865138287087882027887075729047962830622590748212892262698907745648641;_5212733073721157403838724155137391;None
25;BitBird 25;_64159879865138287087882027887075729047962830622590748212892262700007257276417;_15597326790790812660917636273599328;None
26;BitBird 26;_64159879865138287087882027887075729047962830622590748212892262701106768904193;_5212744607362721073782138700827333;None
27;BitBird 27;_64159879865138287087882027887075729047962830622590748212892262702206280531969;_5233015483324809074169560985279106;None
28;BitBird 28;_64159879865138287087882027887075729047962830622590748212892262703305792159745;_5212733073721157403781301346508042;None
29;BitBird 29;_64159879865138287087882027887075729047962830622590748212892262704405303787521;_5212733073721157403868331531398695;None
30;BitBird 30;_64159879865138287087882027887075729047962830622590748212892262705504815415297;_5212733073721157403813050975334398;None
31;BitBird 31;_64159879865138287087882027887075729047962830622590748212892262706604327043073;_5212733073721157403881187051683372;None
32;BitBird 32;_64159879865138287087882027887075729047962830622590748212892262707703838670849;_5233015483324809074265268287768819;None
33;BitBird 33;_64159879865138287087882027887075729047962830622590748212892262708803350298625;_5233015483324809074277339226205791;None
34;BitBird 34;_64159879865138287087882027887075729047962830622590748212892262709902861926401;_10405029932255985032468324319448378;None
35;BitBird 35;_64159879865138287087882027887075729047962830622590748212892262711002373554177;_15597326790790812660984080372832556;None
