Name,Num sales,Last sale,Price,Buyer address,Buyer username,Tx,Token ID
BitBird 0,1,2021-03-06T15:58:49,0.05,0x5ba4dc752fdd165113198e194da2eb7c3db04fa2,n/a,0xefe08265cb59d958a0b0e058ec6b49e44efaa4a604980e485223c54557a90a7e,64159879865138287087882027887075729047962830622590748212892262672519466582017
BitBird 1,2,2021-03-11T17:24:49,0.2,0x42f04c45e96be43e6069f84a713e31fff694c8a2,dvn,0x2b9bd18fe7b9190b921f40d65035fb7740c0b4e30253848b299c769815d6326c,64159879865138287087882027887075729047962830622590748212892262673618978209793
BitBird 2,2,2021-06-29T15:39:18,0.08,0xc40c3456debada9e11f7abca3b3677a270fe8d5b,Joel3,0x619081816e173597911bc1f9f32234d776683156e9324c383e64f7f0f8bd1ede,64159879865138287087882027887075729047962830622590748212892262674718489837569
BitBird 3,1,2021-03-07T18:30:26,0.05,0x8bba2dadcd2763301dbe4dfbfd219c37ff13d635,NateZ19,0x8c9d5d6b9e29d5fb992e63806ef396122afd6f3030b81f6c5d94bb59d6e94e87,64159879865138287087882027887075729047962830622590748212892262675818001465345
BitBird 4,1,2021-03-07T20:18:10,0.05,0x5492e0112e49e5fed0a7b1278c76df655e509a99,ChrisR,0x04a8a65dab810d69be8bd4371333e4e1f3f150b7c45b5e140370da9513d13343,64159879865138287087882027887075729047962830622590748212892262676917513093121
BitBird 5,2,2021-03-17T16:52:00,0.15,0x8bccea0ac31cea9f9e2a53dc9f009864838180ab,MeteorFox,0x3f7b007bf242ab9f3d4b3478395237c5416f9ade1c287091ac742a41968f71c9,64159879865138287087882027887075729047962830622590748212892262678017024720897
BitBird 6,4,2021-08-05T16:21:41,0.05,0xde89db35d4aaa281904faccf48033a66003ea50d,KingTut29,0x7b4b9fec76be01c41cec84ddce091113519289be76e983ab0f87d54f21714da3,64159879865138287087882027887075729047962830622590748212892262679116536348673
BitBird 7,1,2021-03-07T20:49:22,0.05,0x30da0b4b5ac1386f3d706b655d9c8a2924ffaaf6,,0x5b2566b9244337db65fbc46e3b2c4ac27095b9c6f146f3252b62ebc92bad5604,64159879865138287087882027887075729047962830622590748212892262680216047976449
BitBird 8,2,2021-03-15T02:54:56,0.49,0x488ed54ca0ae6d64683286278be99e9c3a9c203e,,0xf1b27a2129880b22ff71a8eb44900b7be97226302ea0dcb5f43b521dc3999768,64159879865138287087882027887075729047962830622590748212892262681315559604225
BitBird 9,2,2021-08-11T17:55:45,0.1,0xdf157b7bc919d559f58756e395079cb4f8bbf826,TombRaider27,0xde2c463b72b27e80721cf3494a5a357cf6304048b4dcf2692caecb31e6f867f9,64159879865138287087882027887075729047962830622590748212892262682415071232001
BitBird 10,1,2021-03-11T03:06:18,0.05,0xe7e84204b7e180454e5c40d0e04d346214a83f85,harper,0xdefff0571e15ae946d1202f8a6bbe78fe04b1988a07292b770708dece36ebb0e,64159879865138287087882027887075729047962830622590748212892262683514582859777
BitBird 11,3,2021-10-08T01:26:46,0.1555,0xb38c5cec1bb08abc4c4633e44cb2d7f96fa8a1d2,,0x23f73fd2046f34ee519dd7950e397f9fd8afd73eaf0090f4039af2f32e6f2f28,64159879865138287087882027887075729047962830622590748212892262684614094487553
BitBird 12,1,2021-03-10T18:07:52,0.05,0x8387283e216f27aa9f695f3ccc2b138d2bc91415,T0PHER,0xfd6b54aea9e1d6f8c6aa0187ef6383664027d8d672004e21a0c8cee4b44cbc58,64159879865138287087882027887075729047962830622590748212892262685713606115329
BitBird 13,3,2021-08-23T18:10:14,0.07,0xff8d58f85a4f7199c4b9461f787cd456ad30e594,,0x818474e5d0442ec42c741a1064248d14e7f30a469b9ba258a2e941106a7c9c50,64159879865138287087882027887075729047962830622590748212892262686813117743105
BitBird 14,1,2021-03-11T20:50:11,0.05,0x3db5f43c538a680280f3e699fc7340008f327ff2,-_-_-_-_-_-,0x724ac1a7a45e11257fe14c5a5c73147cf5c73e7d940f9a1fc8108215f165bf5c,64159879865138287087882027887075729047962830622590748212892262687912629370881
BitBird 15,1,2021-03-11T03:10:15,0.05,0x060d19764de004b37aa64c088a0e55e8401a1041,Beef31,0x9d7b88964124924dcbe40f1f18ae85993a40d8256908ee34c2fca9e8c1c8a1a9,64159879865138287087882027887075729047962830622590748212892262689012140998657
BitBird 16,2,2021-08-12T00:36:38,0.1,0xe524e744ed2e291158c02977b0f048b203ac4aba,beefstew93,0x077a53e3e136f73f95188866f2aef6c4bc7d93441dd699b6eed802c719dbbffb,64159879865138287087882027887075729047962830622590748212892262690111652626433
BitBird 17,2,2021-09-03T11:24:26,0.077,0x682cff15ed20cb008d3c049ca50bf47bb331d829,NiftyStubs,0xaafa5bb83b4cc6c2e305ab6a4d55ab999acc34407b09b3e78f708cc653125a58,64159879865138287087882027887075729047962830622590748212892262691211164254209
BitBird 18,1,2021-03-11T19:34:21,0.05,0xfe35e15be885750d9b2363cbb6abdd57ac9c4c40,gtmcknight,0x3f5d6ea4e4a585c610cbd4bd5268b9c5011bb4689b7aba39170df1d120f4cb3e,64159879865138287087882027887075729047962830622590748212892262692310675881985
BitBird 19,2,2021-03-13T23:22:51,0.25,0x7db4df0e27595d0b2d02068a652f414eb6697de5,ulyss3s,0xcbcaa796a9c00e847887e61f6d940b96bcca92fa47fcaa55f45c555beb5ad959,64159879865138287087882027887075729047962830622590748212892262693410187509761
BitBird 20,3,2021-10-16T01:09:09,0.182,0xf7097f130fa11c74a10a02146e390d1f29ae9ff9,rackrackcity,0x1ce5e8721064996a7473b01a60e02fd15ec9dd95cbdee85fa6654cfe6c226d3b,64159879865138287087882027887075729047962830622590748212892262694509699137537
BitBird 21,2,2021-03-24T01:34:01,0.19,0xe6fb642fe04b724854d6970cf29222079f3fbc2b,Halpino,0xcd2b16ce8fdff9b333622c1137d18a4d440dbf8263915ac9ee71c1ce7908e76e,64159879865138287087882027887075729047962830622590748212892262695609210765313
BitBird 22,1,2021-03-12T15:38:34,0.05,0x2d05f736cbfef5f1e84b097e09d48575e8995848,Xanzarcan,0x63e88dc9df244577ec5b44e0e4562e7419e3b72c1caac64181a3481fe67282f2,64159879865138287087882027887075729047962830622590748212892262696708722393089
BitBird 23,1,2021-03-11T03:13:17,0.05,0x5bc39601a635ea0d3ed098a027edd14aa43f06bd,KnicksFan,0xd573fe200b2cba3c5f96ae350aff3d09cdb05290f46fedfae53a9bbe45090a41,64159879865138287087882027887075729047962830622590748212892262697808234020865
BitBird 24,1,2021-03-12T03:36:12,0.05,0x7fbe3494bbb7580291971e360079d22cc3e68405,hodlemNFT,0xbb9917b3c42bf45b7ae1bdacfeb52a90622c6fa24e451c18131a638aa3d1f0b0,64159879865138287087882027887075729047962830622590748212892262698907745648641
BitBird 25,2,2021-08-12T03:40:37,0.24,0xe62f65f36ef8434d9d04b41d7e6789258cbc138a,,0x1e83590448910bd29f911ad373490bb943888bd7bff42caefd5cd97946b43bcc,64159879865138287087882027887075729047962830622590748212892262700007257276417
BitBird 26,2,2021-08-05T00:07:15,0.1,0x256cbf17dd6271fa227e2f3dfe9beed7cf769af6,,0x846b85c5f3782a21ebc6052132f66039e2ab7af4057d2bb26b41a0ab9b8cd098,64159879865138287087882027887075729047962830622590748212892262701106768904193
BitBird 27,1,2021-03-11T19:21:48,0.05,0x0e63d7e489363028e23a6da417d5767f9e399246,Gluckworks,0x6a0189391c865dfd81e71c3a2e3c07a9d6489b62125ccf8e7599697e7dd514e3,64159879865138287087882027887075729047962830622590748212892262702206280531969
BitBird 28,2,2021-07-12T00:04:12,0.035,0x22115d784e9021eadd07079d35ed0f5c87f78e02,accumul8or,0x22dd8d07a92a443cd667bba61a66dc123099b3e9ac5588a4e5a895abe2e3815b,64159879865138287087882027887075729047962830622590748212892262703305792159745
BitBird 29,1,2021-03-12T19:27:37,0.05,0x486e9aaada2ec022a46113b273efdafd64b9443e,mattyice954,0xd147749bc1fc6b55e1166eed775182c57ef85622c885b57413c26037a2af2295,64159879865138287087882027887075729047962830622590748212892262704405303787521
BitBird 30,2,2021-08-27T20:02:07,0.089,0xa5d2fa1eaa365231fb9af6d76854e5c675e99aaf,NFTsWallet,0xdd6f23bf912303b7f0886b40743fd267f3d77bc65ce41bbe2302e875c1b6d97e,64159879865138287087882027887075729047962830622590748212892262705504815415297
