Address;Bird;Time;Amount;Winner username;Private offer bird
0x5ba4dc752fdd165113198e194da2eb7c3db04fa2;BitBird 0;2021-03-06T15:58:49;0.05;nan;BitBird 1425
0x75483bbcd1f7361c0b98551a94c9739eb0bf4319;BitBird 69;2021-03-06T17:45:44;0.05;Hinky;BitBird 1424
0xf3cd85e2dfb46f1c5273bac542e78612faee22dd;BitBird 433;2021-03-07T17:34:34;0.05;nan;BitBird 1423
0x0c7c3fe3ac6ea456f3cbca4a4dd649f8b17ba632;BitBird 446;2021-03-07T17:42:23;0.05;LWAM;BitBird 1421
0xfef1b2dc9f48dcc68bf69020a563118e1563ab9a;BitBird 77;2021-03-07T17:46:26;0.05;kubain;BitBird 1420
0x0c544f463600eb7d94b3694f3f3eb171c2f1a93c;BitBird 474;2021-03-07T18:06:15;0.05;riverrunpasteveandadam;BitBird 1418
0x8bba2dadcd2763301dbe4dfbfd219c37ff13d635;BitBird 3;2021-03-07T18:30:26;0.05;NateZ19;BitBird 1417
0x5492e0112e49e5fed0a7b1278c76df655e509a99;BitBird 4;2021-03-07T20:18:10;0.05;ChrisR;BitBird 1416
0x30da0b4b5ac1386f3d706b655d9c8a2924ffaaf6;BitBird 7;2021-03-07T20:49:22;0.05;nan;BitBird 1415
0x4f09de19035757063c22cf597686afff62d1513e;BitBird 100;2021-03-07T21:01:25;0.05;nan;BitBird 1414
0x8a53b8b59877df193c6dae7b8d1d38251af563cf;BitBird 582;2021-03-07T21:08:31;0.05;SerendipityIsMe;BitBird 1413
0x2f3a54bf279d3cdc31dd363e380c69346efd2d9d;BitBird 598;2021-03-07T21:30:38;0.05;digiartwrx;BitBird 1412
0xa76573a000289f6341c48cf37ae1389c3a88e7b3;BitBird 477;2021-03-07T21:30:48;0.05;MutinyBay;BitBird 1411
0x96236adb640ec620a85898378375cedf03ca21ff;BitBird 440;2021-03-08T08:47:00;0.05;whyamIbuyingthis;BitBird 1410
0x4a6f894ccfe3f8dcb578a05c47f509346fbf8a20;BitBird 155;2021-03-08T15:59:57;0.05;nav-eth;BitBird 1409
0xecf898e3a0f5dc4e4894dfbaae2e2b8303a8363b;BitBird 263;2021-03-09T06:11:40;0.05;amwpk;BitBird 1408
0xcddee772926d631cadd0aa8f8033421c4fe55f10;BitBird 222;2021-03-09T14:38:36;0.05;Unbeknown;BitBird 1407
0x47320b27870c9f7549180aa77b0f3bed292a8b1f;BitBird 608;2021-03-10T08:38:49;0.05;NFTBUZZ;BitBird 1406
0x8dd934823b3b0cdfd0527ce2e60a7c76fe7b24d4;BitBird 663;2021-03-10T14:12:52;1;Dabiri-NFTBirds;NA
0x8387283e216f27aa9f695f3ccc2b138d2bc91415;BitBird 12;2021-03-10T18:07:52;0.05;T0PHER;BitBird 1405
0xa3807cead597afe0b4e24f6d2a04c8f77318dccc;BitBird 302;2021-03-11T00:33:06;0.05;Okytomo;BitBird 1404
0xe03895df5be13994a01d4ea6e90ba723e873cb98;BitBird 666;2021-03-11T01:43:57;0.05;nan;BitBird 1402
0x441a40c7174e1dc6fa894761d810ac2129c4881b;BitBird 737;2021-03-11T02:31:23;0.05;octavia;BitBird 1399
0x0846931641992a70d393771b5d9a1ab8ad5b2f28;BitBird 109;2021-03-11T02:32:09;0.05;trt;BitBird 1397
0x03009898ffd3361bb6b02b77d655f196ec82865e;BitBird 576;2021-03-11T02:53:20;0.05;evan3017;BitBird 1395
0x1010595f96ab62b31bfeac411ec5f8f60db5dc23;BitBird 257;2021-03-11T02:53:48;0.05;ajvchuk;BitBird 1393
0x2b0d29ffa81fa6bf35d31db7c3bc11a5913b45ef;BitBird 641;2021-03-11T03:01:55;0.05;mg;BitBird 1392
0xe7e84204b7e180454e5c40d0e04d346214a83f85;BitBird 10;2021-03-11T03:06:18;0.05;harper;BitBird 1391
0x060d19764de004b37aa64c088a0e55e8401a1041;BitBird 619;2021-03-11T03:08:17;0.05;Beef31;BitBird 1390
0x5bc39601a635ea0d3ed098a027edd14aa43f06bd;BitBird 23;2021-03-11T03:13:17;0.05;KnicksFan;BitBird 1389
